OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,Revenue,Total Sales,Total Revenue,Total Cost,Total Profit,Profit Margin,Discount Amount,Order Year,Order Month,Order Day,Order Quarter,Order DayOfWeek,Order WeekOfYear,Ship Year,Ship Month,Ship Day,Ship Quarter,Ship DayOfWeek,Ship WeekOfYear,Delivery Year,Delivery Month,Delivery Day,Delivery Quarter,Delivery DayOfWeek,Delivery WeekOfYear,Processing_Days,Shipping_Days,Total_Lead_Time,Delivery_Category,Order_Value_Category,High_Margin_Product,Discounted_Order,Large_Order,Is_Holiday_Season,Is_Summer
SO - 0001638,Online,WARE-MKL1006,19/7/18,2018-11-30,2018-12-25,2019-01-04,USD,13,17,355,30,2,0.08,1430.05,2465.6,4536.704,4931.2,4536.704,2860.1,1676.6039999999998,36.95643356939311,394.496,2018,11,30,4,4,48,2018,12,25,4,1,52,2019,1,4,1,4,1,25,10,35,Very Slow,Low,True,True,False,True,False
SO - 0001639,Distributor,WARE-NMK1003,19/7/18,2018-11-30,2018-12-27,2019-01-04,USD,23,14,138,16,1,0.15,437.91,1018.4,865.64,1018.4,865.64,437.91,427.72999999999996,49.41199574881012,152.76,2018,11,30,4,4,48,2018,12,27,4,3,52,2019,1,4,1,4,1,27,8,35,Very Slow,Low,True,True,False,True,False
SO - 0001640,Distributor,WARE-UHY1004,19/7/18,2018-12-01,2018-12-18,2018-12-27,USD,23,25,230,40,1,0.4,2168.79,2613.0,1567.8,2613.0,1567.8,2168.79,-600.99,-38.333333333333336,1045.2,2018,12,1,4,5,48,2018,12,18,4,1,51,2018,12,27,4,3,52,17,9,26,Very Slow,Low,False,True,False,True,False
SO - 0001641,In-Store,WARE-XYS1001,19/7/18,2018-12-01,2018-12-11,2018-12-19,USD,1,49,51,23,5,0.4,685.41,1038.5,3115.5,5192.5,3115.5,3427.0499999999997,-311.5499999999997,-9.999999999999991,2077.0,2018,12,1,4,5,48,2018,12,11,4,1,50,2018,12,19,4,2,51,10,8,18,Very Slow,Low,False,True,False,True,False
SO - 0001642,Online,WARE-PUJ1005,19/7/18,2018-12-01,2018-12-04,2018-12-12,USD,15,34,272,15,6,0.05,1043.19,2318.2,13213.739999999998,13909.199999999999,13213.739999999998,6259.14,6954.599999999998,52.63157894736841,695.46,2018,12,1,4,5,48,2018,12,4,4,1,49,2018,12,12,4,2,50,3,8,11,Slow,Below Avg,True,True,False,True,False
SO - 0001643,Online,WARE-PUJ1005,27/10/18,2018-12-01,2018-12-24,2018-12-29,USD,15,42,263,46,2,0.08,865.77,1219.4,2243.6960000000004,2438.8,2243.6960000000004,1731.54,512.1560000000004,22.8264435110639,195.104,2018,12,1,4,5,48,2018,12,24,4,0,52,2018,12,29,4,5,52,23,5,28,Very Slow,Low,False,True,False,True,False
SO - 0001644,In-Store,WARE-PUJ1005,19/7/18,2018-12-01,2018-12-14,2018-12-21,USD,6,24,321,11,2,0.15,2334.82,5306.4,9020.88,10612.8,9020.88,4669.64,4351.239999999999,48.23520543450305,1591.9199999999998,2018,12,1,4,5,48,2018,12,14,4,4,50,2018,12,21,4,4,51,13,7,20,Very Slow,Low,True,True,False,True,False
SO - 0001645,In-Store,WARE-PUJ1005,19/7/18,2018-12-02,2018-12-10,2018-12-19,USD,11,17,301,33,6,0.05,1462.61,2479.0,14130.3,14874.0,14130.3,8775.66,5354.639999999999,37.89473684210526,743.7,2018,12,2,4,6,48,2018,12,10,4,0,50,2018,12,19,4,2,51,8,9,17,Very Slow,Below Avg,True,True,False,True,False
SO - 0001646,Wholesale,WARE-UHY1004,19/7/18,2018-12-02,2018-12-20,2018-12-27,USD,28,44,244,36,8,0.1,186.8,227.8,1640.16,1822.4,1640.16,1494.4,145.76,8.886937859721002,182.24,2018,12,2,4,6,48,2018,12,20,4,3,51,2018,12,27,4,3,52,18,7,25,Very Slow,Low,False,True,True,True,False
SO - 0001647,Distributor,WARE-NMK1003,19/7/18,2018-12-02,2018-12-14,2018-12-20,USD,24,30,100,26,3,0.1,3498.41,5929.5,16009.65,17788.5,16009.65,10495.23,5514.42,34.44435075095333,1778.8500000000001,2018,12,2,4,6,48,2018,12,14,4,4,50,2018,12,20,4,3,51,12,6,18,Very Slow,Below Avg,True,True,False,True,False
SO - 0001648,In-Store,WARE-NMK1003,19/7/18,2018-12-02,2018-12-22,2018-12-29,USD,11,17,167,44,6,0.15,1175.45,1728.6,8815.859999999999,10371.599999999999,8815.859999999999,7052.700000000001,1763.159999999998,19.999863881685943,1555.7399999999998,2018,12,2,4,6,48,2018,12,22,4,5,51,2018,12,29,4,5,52,20,7,27,Very Slow,Low,False,True,False,True,False
SO - 0001649,Distributor,WARE-UHY1004,19/7/18,2018-12-02,2018-12-07,2018-12-16,USD,21,28,217,24,4,0.08,825.71,1045.2,3846.3360000000002,4180.8,3846.3360000000002,3302.84,543.4960000000001,14.13022679245911,334.464,2018,12,2,4,6,48,2018,12,7,4,4,49,2018,12,16,4,6,50,5,9,14,Slow,Low,False,True,False,True,False
SO - 0001650,In-Store,WARE-XYS1001,19/7/18,2018-12-02,2018-12-15,2018-12-25,USD,9,2,28,35,8,0.1,1411.96,1721.9,12397.68,13775.2,12397.68,11295.68,1102.0,8.888759832484787,1377.5200000000002,2018,12,2,4,6,48,2018,12,15,4,5,50,2018,12,25,4,1,52,13,10,23,Very Slow,Below Avg,False,True,True,True,False
SO - 0001651,Distributor,WARE-XYS1001,19/7/18,2018-12-03,2018-12-29,2019-01-08,USD,20,44,44,31,8,0.05,2999.72,3845.8,29228.08,30766.4,29228.08,23997.76,5230.320000000003,17.89484632586199,1538.3200000000002,2018,12,3,4,0,49,2018,12,29,4,5,52,2019,1,8,1,1,2,26,10,36,Very Slow,Average,False,True,True,True,False
SO - 0001652,Online,WARE-MKL1006,19/7/18,2018-12-03,2018-12-15,2018-12-19,USD,14,23,349,36,2,0.4,1651.15,2706.8,3248.1600000000003,5413.6,3248.1600000000003,3302.3,-54.13999999999987,-1.666789813309685,2165.44,2018,12,3,4,0,49,2018,12,15,4,5,50,2018,12,19,4,2,51,12,4,16,Very Slow,Low,False,True,False,True,False
SO - 0001653,Online,WARE-NMK1003,19/7/18,2018-12-03,2018-12-18,2018-12-24,USD,16,29,94,41,5,0.08,1358.76,2613.0,12019.800000000001,13065.0,12019.800000000001,6793.8,5226.000000000001,43.47826086956522,1045.2,2018,12,3,4,0,49,2018,12,18,4,1,51,2018,12,24,4,0,52,15,6,21,Very Slow,Below Avg,True,True,False,True,False
SO - 0001654,Distributor,WARE-PUJ1005,19/7/18,2018-12-03,2018-12-11,2018-12-19,USD,23,9,323,21,3,0.08,2977.75,3631.4,10022.664,10894.2,10022.664,8933.25,1089.4140000000007,10.869505353067813,871.5360000000001,2018,12,3,4,0,49,2018,12,11,4,1,50,2018,12,19,4,2,51,8,8,16,Very Slow,Below Avg,False,True,False,True,False
SO - 0001655,Online,WARE-UHY1004,19/7/18,2018-12-03,2018-12-30,2019-01-06,USD,13,10,213,25,3,0.05,563.81,1105.5,3150.6749999999997,3316.5,3150.6749999999997,1691.4299999999998,1459.245,46.31531338522697,165.82500000000002,2018,12,3,4,0,49,2018,12,30,4,6,52,2019,1,6,1,6,1,27,7,34,Very Slow,Low,True,True,False,True,False
SO - 0001656,Online,WARE-NBV1002,19/7/18,2018-12-03,2018-12-29,2019-01-06,USD,20,31,73,27,1,0.15,533.05,1045.2,888.42,1045.2,888.42,533.05,355.37,40.000225118750144,156.78,2018,12,3,4,0,49,2018,12,29,4,5,52,2019,1,6,1,6,1,26,8,34,Very Slow,Low,True,True,False,True,False
SO - 0001657,Wholesale,WARE-PUJ1005,19/7/18,2018-12-03,2018-12-10,2018-12-14,USD,27,4,318,22,8,0.05,1551.32,3041.8,23117.68,24334.4,23117.68,12410.56,10707.12,46.31572026258691,1216.72,2018,12,3,4,0,49,2018,12,10,4,0,50,2018,12,14,4,4,50,7,4,11,Slow,Average,True,True,True,True,False
SO - 0001658,Distributor,WARE-NBV1002,19/7/18,2018-12-03,2018-12-23,2019-01-02,USD,21,50,79,39,5,0.08,965.47,1755.4,8074.84,8777.0,8074.84,4827.35,3247.49,40.21739130434782,702.1600000000001,2018,12,3,4,0,49,2018,12,23,4,6,51,2019,1,2,1,2,1,20,10,30,Very Slow,Low,True,True,False,True,False
SO - 0001659,Distributor,WARE-NMK1003,19/7/18,2018-12-03,2018-12-26,2019-01-05,USD,21,47,114,2,1,0.05,1191.53,2291.4,2176.83,2291.4,2176.83,1191.53,985.3,45.26306601801702,114.57000000000001,2018,12,3,4,0,49,2018,12,26,4,2,52,2019,1,5,1,5,1,23,10,33,Very Slow,Low,True,True,False,True,False
SO - 0001660,Wholesale,WARE-XYS1001,19/7/18,2018-12-03,2018-12-12,2018-12-20,USD,28,45,18,13,6,0.2,719.85,1058.6,5081.28,6351.599999999999,5081.28,4319.1,762.1799999999994,14.999763839032672,1270.32,2018,12,3,4,0,49,2018,12,12,4,2,50,2018,12,20,4,3,51,9,8,17,Very Slow,Low,False,True,False,True,False
SO - 0001661,In-Store,WARE-NMK1003,19/7/18,2018-12-03,2018-12-20,2018-12-28,USD,1,43,165,42,8,0.1,479.39,1065.3,7670.16,8522.4,7670.16,3835.12,3835.04,49.99947849849286,852.24,2018,12,3,4,0,49,2018,12,20,4,3,51,2018,12,28,4,4,52,17,8,25,Very Slow,Low,True,True,True,True,False
SO - 0001662,In-Store,WARE-NMK1003,19/7/18,2018-12-03,2018-12-28,2019-01-04,USD,9,48,122,11,5,0.4,115.78,241.2,723.6,1206.0,723.6,578.9,144.70000000000005,19.99723604201217,482.40000000000003,2018,12,3,4,0,49,2018,12,28,4,4,52,2019,1,4,1,4,1,25,7,32,Very Slow,Low,False,True,False,True,False
SO - 0001663,In-Store,WARE-UHY1004,19/7/18,2018-12-04,2018-12-11,2018-12-13,USD,4,20,228,47,7,0.1,781.29,1132.3,7133.49,7926.099999999999,7133.49,5469.03,1664.46,23.33303894727546,792.61,2018,12,4,4,1,49,2018,12,11,4,1,50,2018,12,13,4,3,50,7,2,9,Slow,Low,False,True,False,True,False
SO - 0001664,Online,WARE-NMK1003,19/7/18,2018-12-04,2018-12-07,2018-12-11,USD,19,43,137,1,2,0.15,1890.74,2224.4,3781.48,4448.8,3781.48,3781.48,0.0,0.0,667.32,2018,12,4,4,1,49,2018,12,7,4,4,49,2018,12,11,4,1,50,3,4,7,Standard,Low,False,True,False,True,False
SO - 0001665,In-Store,WARE-MKL1006,19/7/18,2018-12-04,2018-12-14,2018-12-23,USD,9,20,344,46,4,0.08,659.28,824.1,3032.688,3296.4,3032.688,2637.12,395.5680000000002,13.04347826086957,263.712,2018,12,4,4,1,49,2018,12,14,4,4,50,2018,12,23,4,6,51,10,9,19,Very Slow,Low,False,True,False,True,False
SO - 0001666,In-Store,WARE-PUJ1005,19/7/18,2018-12-04,2018-12-16,2018-12-24,USD,8,23,269,10,2,0.1,1458.05,2351.7,4233.0599999999995,4703.4,4233.0599999999995,2916.1,1316.9599999999996,31.11130009969147,470.34,2018,12,4,4,1,49,2018,12,16,4,6,50,2018,12,24,4,0,52,12,8,20,Very Slow,Low,True,True,False,True,False
SO - 0001667,Online,WARE-XYS1001,19/7/18,2018-12-04,2018-12-12,2018-12-13,USD,20,43,24,30,1,0.05,2918.65,6344.9,6027.655,6344.9,6027.655,2918.65,3109.0049999999997,51.57901372921974,317.245,2018,12,4,4,1,49,2018,12,12,4,2,50,2018,12,13,4,3,50,8,1,9,Slow,Low,True,True,False,True,False
SO - 0001668,Distributor,WARE-NMK1003,19/7/18,2018-12-04,2018-12-16,2018-12-18,USD,23,42,126,32,6,0.1,3541.42,5621.3,30355.020000000004,33727.8,30355.020000000004,21248.52,9106.500000000004,29.999980233911895,3372.7799999999997,2018,12,4,4,1,49,2018,12,16,4,6,50,2018,12,18,4,1,51,12,2,14,Slow,Above Avg,True,True,False,True,False
SO - 0001669,Distributor,WARE-NMK1003,19/7/18,2018-12-04,2018-12-06,2018-12-11,USD,22,32,141,23,6,0.05,598.44,1031.8,5881.259999999999,6190.799999999999,5881.259999999999,3590.6400000000003,2290.619999999999,38.947776496873104,309.54,2018,12,4,4,1,49,2018,12,6,4,3,49,2018,12,11,4,1,50,2,5,7,Standard,Low,True,True,False,True,False
SO - 0001670,Online,WARE-UHY1004,19/7/18,2018-12-04,2018-12-15,2018-12-21,USD,18,21,210,25,4,0.05,1828.03,2405.3,9140.14,9621.2,9140.14,7312.12,1828.0199999999995,19.99991247398836,481.06000000000006,2018,12,4,4,1,49,2018,12,15,4,5,50,2018,12,21,4,4,51,11,6,17,Very Slow,Low,False,True,False,True,False
SO - 0001671,Distributor,WARE-NMK1003,19/7/18,2018-12-04,2018-12-09,2018-12-15,USD,22,7,92,20,2,0.08,906.51,1105.5,2034.1200000000001,2211.0,2034.1200000000001,1813.02,221.10000000000014,10.869565217391312,176.88,2018,12,4,4,1,49,2018,12,9,4,6,49,2018,12,15,4,5,50,5,6,11,Slow,Low,False,True,False,True,False
SO - 0001672,In-Store,WARE-MKL1006,19/7/18,2018-12-04,2018-12-18,2018-12-27,USD,8,34,343,23,5,0.08,958.77,1775.5,8167.3,8877.5,8167.3,4793.85,3373.45,41.30434782608695,710.1999999999999,2018,12,4,4,1,49,2018,12,18,4,1,51,2018,12,27,4,3,52,14,9,23,Very Slow,Low,True,True,False,True,False
SO - 0001673,Online,WARE-NMK1003,19/7/18,2018-12-04,2018-12-21,2018-12-22,USD,14,7,153,46,2,0.08,786.31,1092.1,2009.464,2184.2,2009.464,1572.62,436.84400000000005,21.739329492839886,174.736,2018,12,4,4,1,49,2018,12,21,4,4,51,2018,12,22,4,5,51,17,1,18,Very Slow,Low,False,True,False,True,False
SO - 0001674,Online,WARE-NMK1003,19/7/18,2018-12-04,2018-12-09,2018-12-19,USD,15,1,105,27,6,0.08,83.08,207.7,1146.504,1246.1999999999998,1146.504,498.48,648.0239999999999,56.52173913043478,99.696,2018,12,4,4,1,49,2018,12,9,4,6,49,2018,12,19,4,2,51,5,10,15,Very Slow,Low,True,True,False,True,False
SO - 0001675,In-Store,WARE-MKL1006,19/7/18,2018-12-04,2018-12-21,2018-12-30,USD,9,16,340,45,4,0.1,759.78,1809.0,6512.400000000001,7236.0,6512.400000000001,3039.12,3473.2800000000007,53.33333333333334,723.6,2018,12,4,4,1,49,2018,12,21,4,4,51,2018,12,30,4,6,52,17,9,26,Very Slow,Low,True,True,False,True,False
SO - 0001676,Online,WARE-UHY1004,19/7/18,2018-12-05,2018-12-07,2018-12-14,USD,12,30,259,2,8,0.08,1437.15,1842.5,13560.800000000001,14740.0,13560.800000000001,11497.2,2063.6000000000004,15.217391304347828,1179.2,2018,12,5,4,2,49,2018,12,7,4,4,49,2018,12,14,4,4,50,2,7,9,Slow,Below Avg,False,True,True,True,False
SO - 0001677,In-Store,WARE-MKL1006,27/10/18,2018-12-05,2018-12-31,2019-01-07,USD,4,18,344,45,4,0.1,2764.15,3839.1,13820.76,15356.4,13820.76,11056.6,2764.16,20.00005788393692,1535.64,2018,12,5,4,2,49,2018,12,31,4,0,1,2019,1,7,1,0,2,26,7,33,Very Slow,Below Avg,False,True,False,True,False
SO - 0001678,Online,WARE-NMK1003,19/7/18,2018-12-05,2018-12-10,2018-12-16,USD,13,34,178,43,7,0.15,171.52,268.0,1594.6,1876.0,1594.6,1200.64,393.9599999999998,24.705882352941167,281.4,2018,12,5,4,2,49,2018,12,10,4,0,50,2018,12,16,4,6,50,5,6,11,Slow,Low,False,True,False,True,False
SO - 0001679,In-Store,WARE-NMK1003,19/7/18,2018-12-05,2018-12-13,2018-12-18,USD,2,28,118,19,3,0.3,859.68,1829.1,3841.109999999999,5487.299999999999,3841.109999999999,2579.04,1262.0699999999993,32.85690854987229,1646.1899999999996,2018,12,5,4,2,49,2018,12,13,4,3,50,2018,12,18,4,1,51,8,5,13,Slow,Low,True,True,False,True,False
SO - 0001680,Wholesale,WARE-PUJ1005,19/7/18,2018-12-05,2018-12-19,2018-12-29,USD,27,15,294,25,1,0.2,1256.92,1795.6,1436.48,1795.6,1436.48,1256.92,179.55999999999995,12.499999999999996,359.12,2018,12,5,4,2,49,2018,12,19,4,2,51,2018,12,29,4,5,52,14,10,24,Very Slow,Low,False,True,False,True,False
SO - 0001681,Online,WARE-XYS1001,19/7/18,2018-12-05,2019-01-02,2019-01-03,USD,15,11,24,12,6,0.4,458.75,1118.9,4028.04,6713.400000000001,4028.04,2752.5,1275.54,31.666517710846964,2685.3600000000006,2018,12,5,4,2,49,2019,1,2,1,2,1,2019,1,3,1,3,1,28,1,29,Very Slow,Low,True,True,False,True,False
SO - 0001682,Distributor,WARE-XYS1001,27/10/18,2018-12-06,2018-12-21,2018-12-29,USD,20,22,37,5,2,0.08,716.1,1118.9,2058.7760000000003,2237.8,2058.7760000000003,1432.2,626.5760000000002,30.43439402829643,179.02400000000003,2018,12,6,4,3,49,2018,12,21,4,4,51,2018,12,29,4,5,52,15,8,23,Very Slow,Low,True,True,False,True,False
SO - 0001683,In-Store,WARE-UHY1004,19/7/18,2018-12-06,2018-12-23,2018-12-27,USD,10,22,258,43,4,0.1,2630.55,3926.2,14134.32,15704.8,14134.32,10522.2,3612.119999999999,25.555668755200102,1570.48,2018,12,6,4,3,49,2018,12,23,4,6,51,2018,12,27,4,3,52,17,4,21,Very Slow,Below Avg,False,True,False,True,False
SO - 0001684,Wholesale,WARE-NBV1002,19/7/18,2018-12-06,2019-01-02,2019-01-11,USD,27,19,81,4,8,0.05,514.02,917.9,6976.039999999999,7343.2,6976.039999999999,4112.16,2863.879999999999,41.053090291913456,367.16,2018,12,6,4,3,49,2019,1,2,1,2,1,2019,1,11,1,4,2,27,9,36,Very Slow,Low,True,True,True,True,False
SO - 0001685,In-Store,WARE-NMK1003,19/7/18,2018-12-06,2018-12-16,2018-12-25,USD,5,50,135,31,6,0.2,99.7,207.7,996.9599999999999,1246.1999999999998,996.9599999999999,598.2,398.7599999999999,39.99759268175252,249.24,2018,12,6,4,3,49,2018,12,16,4,6,50,2018,12,25,4,1,52,10,9,19,Very Slow,Low,True,True,False,True,False
SO - 0001686,In-Store,WARE-PUJ1005,19/7/18,2018-12-06,2018-12-08,2018-12-16,USD,6,17,283,37,1,0.08,1264.96,1976.5,1818.38,1976.5,1818.38,1264.96,553.4200000000001,30.434782608695656,158.12,2018,12,6,4,3,49,2018,12,8,4,5,49,2018,12,16,4,6,50,2,8,10,Slow,Low,True,True,False,True,False
SO - 0001687,Wholesale,WARE-NBV1002,27/10/18,2018-12-06,2018-12-11,2018-12-16,USD,27,19,80,16,4,0.15,2613.4,3959.7,13462.98,15838.8,13462.98,10453.6,3009.379999999999,22.353000598678744,2375.8199999999997,2018,12,6,4,3,49,2018,12,11,4,1,50,2018,12,16,4,6,50,5,5,10,Slow,Below Avg,False,True,False,True,False
SO - 0001688,In-Store,WARE-NMK1003,27/10/18,2018-12-06,2019-01-01,2019-01-02,USD,6,49,124,29,2,0.1,846.08,1098.8,1977.84,2197.6,1977.84,1692.16,285.67999999999984,14.44403996278768,219.76,2018,12,6,4,3,49,2019,1,1,1,1,1,2019,1,2,1,2,1,26,1,27,Very Slow,Low,False,True,False,True,False
SO - 0001689,Online,WARE-NMK1003,19/7/18,2018-12-06,2018-12-12,2018-12-15,USD,13,15,103,41,2,0.05,728.49,877.7,1667.63,1755.4,1667.63,1456.98,210.6500000000001,12.631698878048493,87.77000000000001,2018,12,6,4,3,49,2018,12,12,4,2,50,2018,12,15,4,5,50,6,3,9,Slow,Low,False,True,False,True,False
SO - 0001690,In-Store,WARE-NMK1003,19/7/18,2018-12-06,2018-12-28,2019-01-06,USD,7,14,178,47,5,0.1,1276.35,2552.7,11487.15,12763.5,11487.15,6381.75,5105.4,44.44444444444444,1276.35,2018,12,6,4,3,49,2018,12,28,4,4,52,2019,1,6,1,6,1,22,9,31,Very Slow,Below Avg,True,True,False,True,False
SO - 0001691,In-Store,WARE-MKL1006,19/7/18,2018-12-06,2018-12-26,2019-01-05,USD,5,12,355,18,8,0.05,768.83,1025.1,7790.759999999999,8200.8,7790.759999999999,6150.64,1640.119999999999,21.052118150218966,410.03999999999996,2018,12,6,4,3,49,2018,12,26,4,2,52,2019,1,5,1,5,1,20,10,30,Very Slow,Low,False,True,True,True,False
SO - 0001692,Distributor,WARE-UHY1004,19/7/18,2018-12-06,2019-01-03,2019-01-08,USD,23,34,245,31,7,0.15,668.93,1045.2,6218.9400000000005,7316.400000000001,6218.9400000000005,4682.509999999999,1536.4300000000012,24.705657234191055,1097.46,2018,12,6,4,3,49,2019,1,3,1,3,1,2019,1,8,1,1,2,28,5,33,Very Slow,Low,False,True,False,True,False
SO - 0001693,Wholesale,WARE-PUJ1005,19/7/18,2018-12-07,2018-12-22,2018-12-25,USD,28,27,306,26,8,0.4,2393.24,5983.1,28718.88,47864.8,28718.88,19145.92,9572.960000000003,33.33333333333334,19145.920000000002,2018,12,7,4,4,49,2018,12,22,4,5,51,2018,12,25,4,1,52,15,3,18,Very Slow,Average,True,True,True,True,False
SO - 0001694,Distributor,WARE-NMK1003,19/7/18,2018-12-07,2018-12-14,2018-12-21,USD,23,47,173,37,6,0.08,756.3,1112.2,6139.344000000001,6673.200000000001,6139.344000000001,4537.799999999999,1601.5440000000017,26.08656560049415,533.856,2018,12,7,4,4,49,2018,12,14,4,4,50,2018,12,21,4,4,51,7,7,14,Slow,Low,False,True,False,True,False
SO - 0001695,In-Store,WARE-NMK1003,19/7/18,2018-12-07,2018-12-30,2019-01-04,USD,9,23,121,34,6,0.2,816.6,1855.9,8908.320000000002,11135.400000000001,8908.320000000002,4899.6,4008.720000000001,44.99973058893259,2227.0800000000004,2018,12,7,4,4,49,2018,12,30,4,6,52,2019,1,4,1,4,1,23,5,28,Very Slow,Low,True,True,False,True,False
SO - 0001696,In-Store,WARE-PUJ1005,19/7/18,2018-12-07,2018-12-26,2019-01-02,USD,1,30,319,29,6,0.05,2295.42,3825.7,21806.489999999998,22954.199999999997,21806.489999999998,13772.52,8033.9699999999975,36.84210526315789,1147.71,2018,12,7,4,4,49,2018,12,26,4,2,52,2019,1,2,1,2,1,19,7,26,Very Slow,Average,True,True,False,True,False
SO - 0001697,Distributor,WARE-UHY1004,19/7/18,2018-12-07,2018-12-15,2018-12-22,USD,23,16,218,37,8,0.3,653.92,817.4,4577.44,6539.2,4577.44,5231.36,-653.9200000000001,-14.285714285714288,1961.7599999999998,2018,12,7,4,4,49,2018,12,15,4,5,50,2018,12,22,4,5,51,8,7,15,Very Slow,Low,False,True,True,True,False
SO - 0001698,In-Store,WARE-NMK1003,27/10/18,2018-12-07,2019-01-01,2019-01-03,USD,3,9,122,47,8,0.08,375.87,737.0,5424.320000000001,5896.0,5424.320000000001,3006.96,2417.3600000000006,44.56521739130435,471.68,2018,12,7,4,4,49,2019,1,1,1,1,1,2019,1,3,1,3,1,25,2,27,Very Slow,Low,True,True,True,True,False
SO - 0001699,In-Store,WARE-NMK1003,19/7/18,2018-12-07,2018-12-20,2018-12-28,USD,6,5,203,32,5,0.05,1651.95,2465.6,11711.599999999999,12328.0,11711.599999999999,8259.75,3451.8499999999985,29.47376959595614,616.4,2018,12,7,4,4,49,2018,12,20,4,3,51,2018,12,28,4,4,52,13,8,21,Very Slow,Below Avg,True,True,False,True,False
SO - 0001700,In-Store,WARE-XYS1001,19/7/18,2018-12-07,2018-12-21,2018-12-26,USD,8,41,10,12,6,0.1,686.08,857.6,4631.040000000001,5145.6,4631.040000000001,4116.4800000000005,514.5600000000004,11.111111111111118,514.5600000000001,2018,12,7,4,4,49,2018,12,21,4,4,51,2018,12,26,4,2,52,14,5,19,Very Slow,Low,False,True,False,True,False
SO - 0001701,Online,WARE-PUJ1005,19/7/18,2018-12-08,2018-12-23,2018-12-31,USD,15,24,322,31,6,0.2,431.48,1078.7,5177.760000000001,6472.200000000001,5177.760000000001,2588.88,2588.880000000001,50.000000000000014,1294.44,2018,12,8,4,5,49,2018,12,23,4,6,51,2018,12,31,4,0,1,15,8,23,Very Slow,Low,True,True,False,True,False
SO - 0001702,In-Store,WARE-NMK1003,19/7/18,2018-12-08,2018-12-24,2018-12-27,USD,2,23,164,17,6,0.2,2746.06,3390.2,16272.96,20341.199999999997,16272.96,16476.36,-203.40000000000146,-1.249926258037883,4068.24,2018,12,8,4,5,49,2018,12,24,4,0,52,2018,12,27,4,3,52,16,3,19,Very Slow,Below Avg,False,True,False,True,False
SO - 0001703,In-Store,WARE-UHY1004,27/10/18,2018-12-08,2018-12-10,2018-12-18,USD,8,18,208,40,3,0.2,4356.14,5514.1,13233.840000000004,16542.300000000003,13233.840000000004,13068.420000000002,165.4200000000019,1.2499773308427626,3308.4600000000005,2018,12,8,4,5,49,2018,12,10,4,0,50,2018,12,18,4,1,51,2,8,10,Slow,Below Avg,False,True,False,True,False
SO - 0001704,Online,WARE-NBV1002,19/7/18,2018-12-08,2018-12-15,2018-12-22,USD,13,3,60,13,8,0.05,145.39,207.7,1578.5199999999998,1661.6,1578.5199999999998,1163.12,415.39999999999986,26.315789473684205,83.08,2018,12,8,4,5,49,2018,12,15,4,5,50,2018,12,22,4,5,51,7,7,14,Slow,Low,False,True,True,True,False
SO - 0001705,In-Store,WARE-NBV1002,19/7/18,2018-12-08,2019-01-02,2019-01-11,USD,1,49,70,11,2,0.05,924.6,2010.0,3819.0,4020.0,3819.0,1849.2,1969.8,51.57894736842105,201.0,2018,12,8,4,5,49,2019,1,2,1,2,1,2019,1,11,1,4,2,25,9,34,Very Slow,Low,True,True,False,True,False
SO - 0001706,Online,WARE-UHY1004,19/7/18,2018-12-08,2018-12-21,2018-12-29,USD,14,30,221,39,5,0.08,1052.84,1949.7,8968.62,9748.5,8968.62,5264.2,3704.420000000001,41.30423632621296,779.88,2018,12,8,4,5,49,2018,12,21,4,4,51,2018,12,29,4,5,52,13,8,21,Very Slow,Low,True,True,False,True,False
SO - 0001707,Online,WARE-XYS1001,27/10/18,2018-12-08,2018-12-27,2018-12-30,USD,14,14,26,7,7,0.08,106.26,174.2,1121.848,1219.3999999999999,1121.848,743.82,378.0279999999999,33.69690011481056,97.55199999999999,2018,12,8,4,5,49,2018,12,27,4,3,52,2018,12,30,4,6,52,19,3,22,Very Slow,Low,True,True,False,True,False
SO - 0001708,Online,WARE-MKL1006,19/7/18,2018-12-08,2019-01-01,2019-01-07,USD,20,24,364,23,7,0.05,797.3,1139.0,7574.349999999999,7973.0,7574.349999999999,5581.099999999999,1993.25,26.315789473684216,398.65000000000003,2018,12,8,4,5,49,2019,1,1,1,1,1,2019,1,7,1,0,2,24,6,30,Very Slow,Low,False,True,False,True,False
SO - 0001709,Wholesale,WARE-MKL1006,19/7/18,2018-12-08,2018-12-21,2018-12-31,USD,27,17,345,28,8,0.08,2181.12,5319.8,39153.728,42558.4,39153.728,17448.96,21704.768000000004,55.43474174413227,3404.672,2018,12,8,4,5,49,2018,12,21,4,4,51,2018,12,31,4,0,1,13,10,23,Very Slow,Above Avg,True,True,True,True,False
SO - 0001710,In-Store,WARE-PUJ1005,19/7/18,2018-12-09,2018-12-12,2018-12-15,USD,4,43,327,8,4,0.15,2080.89,3926.2,13349.08,15704.8,13349.08,8323.56,5025.52,37.64693896508224,2355.72,2018,12,9,4,6,49,2018,12,12,4,2,50,2018,12,15,4,5,50,3,3,6,Standard,Below Avg,True,True,False,True,False
